,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Critical,Tot CasesPerM,DeathsPerM,Total Tests,TestsPerM
0,World,"1,347,235","+1,231","1,347,235",+113,"286,234","986,234","47,353",173,9.6, , 
1,USA,"367,629",+625,"367,629",+70,"19,810","336,878","8,983","1,111",33,"1,914,540","5,784"
2,Spain,"136,675", ,"136,675", ,"40,437","82,897","6,931","2,923",285,"355,000","7,593"
3,Italy,"132,547", ,"132,547", ,"22,837","93,187","3,898","2,192",273,"721,732","11,937"
4,Germany,"103,375", ,"103,375", ,"36,081","65,484","4,895","1,234",22,"918,460","10,962"
5,France,"98,010", ,"98,010", ,"17,250","71,849","7,072","1,502",137,"224,254","3,436"
6,Iran,"60,500", ,"60,500", ,"24,236","32,525","4,083",720,45,"186,000","2,214"
7,UK,"51,608", ,"51,608", ,135,"46,100","1,559",760,79,"252,958","3,726"
8,Turkey,"30,217", ,"30,217", ,"1,326","28,242","1,415",358,8,"202,845","2,405"
9,Switzerland,"21,657", ,"21,657", ,"8,056","12,836",391,"2,502",88,"162,500","18,776"
10,Belgium,"20,814", ,"20,814", ,"3,986","15,196","1,257","1,796",141,"70,000","6,040"
11,Netherlands,"18,803", ,"18,803", ,250,"16,686","1,409","1,097",109,"86,589","5,053"
12,Canada,"16,667", ,"16,667", ,"3,616","12,728",426,442,9,"330,901","8,767"
13,Austria,"12,297", ,"12,297", ,"3,463","8,614",250,"1,365",24,"111,296","12,357"
14,Brazil,"12,232",+49,"12,232",+2,127,"11,539",296,58,3,"54,824",258
15,Portugal,"11,730", ,"11,730", ,140,"11,279",270,"1,150",31,"110,000","10,788"
16,S. Korea,"10,331",+47,"10,331",+6,"6,694","3,445",55,202,4,"461,233","8,996"
17,Israel,"8,904", ,"8,904", ,585,"8,262",140,"1,029",7,"109,724","12,677"
18,Sweden,"7,206", ,"7,206", ,205,"6,524",590,714,47,"36,900","3,654"
19,Russia,"6,343", ,"6,343", ,406,"5,890",8,43,0.3,"758,000","5,194"
20,Australia,"5,895", ,"5,895", ,"2,432","3,418",96,231,2,"303,536","11,903"
21,Norway,"5,865", ,"5,865", ,32,"5,757",83,"1,082",14,"111,299","20,530"
22,Ireland,"5,364", ,"5,364", ,25,"5,165",165,"1,086",35,"30,213","6,119"
23,Czechia,"4,822", ,"4,822", ,121,"4,623",84,450,7,"85,014","7,939"
24,Chile,"4,815", ,"4,815", ,728,"4,050",327,252,2,"54,864","2,870"
25,India,"4,778", ,"4,778", ,382,"4,260", ,3,0.10,"140,293",102
26,Denmark,"4,681", ,"4,681", ,"1,378","3,116",144,808,32,"52,936","9,139"
27,Poland,"4,413", ,"4,413", ,162,"4,144",50,117,3,"85,467","2,258"
28,Romania,"4,057", ,"4,057", ,406,"3,475",179,211,9,"40,987","2,131"
29,Japan,"3,906", ,"3,906", ,592,"3,222",64,31,0.7,"46,172",365
30,Malaysia,"3,793", ,"3,793", ,"1,241","2,490",102,117,2,"55,566","1,717"
31,Pakistan,"3,766", ,"3,766", ,259,"3,454",17,17,0.2,"35,875",162
32,Ecuador,"3,747", ,"3,747", ,100,"3,456",156,212,11,"13,039",739
33,Philippines,"3,660", ,"3,660", ,73,"3,424",1,33,1,"22,958",210
34,Luxembourg,"2,843", ,"2,843", ,500,"2,302",33,"4,542",65,"24,291","38,805"
35,Saudi Arabia,"2,605", ,"2,605", ,551,"2,016",41,75,1, , 
36,Peru,"2,561", ,"2,561", ,997,"1,472",89,78,3,"20,414",619
37,Indonesia,"2,491", ,"2,491", ,192,"2,090", ,9,0.8,"11,460",42
38,Mexico,"2,439",+296,"2,439",+31,633,"1,681",89,19,1.0,"20,475",159
39,Thailand,"2,220", ,"2,220", ,793,"1,401",23,32,0.4,"25,071",359
40,Serbia,"2,200", ,"2,200", ,118,"2,024",101,252,7,"8,552",979
41,Finland,"2,176", ,"2,176", ,300,"1,849",81,393,5,"32,800","5,920"
42,Panama,"2,100", ,"2,100", ,14,"2,031",88,487,13,"10,297","2,386"
43,UAE,"2,076", ,"2,076", ,167,"1,898",1,210,1,"220,000","22,244"
44,Qatar,"1,832", ,"1,832", ,131,"1,697",37,636,1,"38,108","13,227"
45,Dominican Republic,"1,828", ,"1,828", ,33,"1,709",147,169,8,"4,542",419
46,Greece,"1,755", ,"1,755", ,269,"1,407",90,168,8,"26,193","2,513"
47,South Africa,"1,686", ,"1,686", ,95,"1,579",7,28,0.2,"58,098",980
48,Argentina,"1,628", ,"1,628", ,325,"1,250",94,36,1,"10,709",237
49,Colombia,"1,579", ,"1,579", ,88,"1,445",50,31,0.9,"27,685",544
50,Iceland,"1,562", ,"1,562", ,460,"1,096",11,"4,577",18,"27,880","81,701"
51,Algeria,"1,423", ,"1,423", ,90,"1,160",46,32,4,"3,359",77
52,Singapore,"1,375", ,"1,375", ,344,"1,025",25,235,1,"65,000","11,110"
53,Egypt,"1,322", ,"1,322", ,259,978, ,13,0.8,"25,000",244
54,Ukraine,"1,319", ,"1,319", ,28,"1,253",16,30,0.9,"5,864",134
55,Croatia,"1,222", ,"1,222", ,130,"1,076",36,298,4,"11,464","2,793"
56,New Zealand,"1,160",+54,"1,160", ,241,918,4,241,0.2,"42,826","8,881"
57,Morocco,"1,120", ,"1,120", ,81,959,1,30,2,"5,104",138
58,Estonia,"1,108", ,"1,108", ,62,"1,027",14,835,14,"21,866","16,484"
59,Iraq,"1,031", ,"1,031", ,344,623, ,26,2, , 
60,Slovenia,"1,021", ,"1,021", ,102,889,30,491,14,"28,253","13,590"
61,Moldova,965, ,965, ,37,909,80,239,5, , 
62,Hong Kong,915, ,915, ,216,695,12,122,0.5,"96,709","12,900"
63,Lithuania,843, ,843, ,8,820,11,310,6,"25,599","9,403"
64,Armenia,833, ,833, ,62,763,30,281,3,"4,929","1,663"
65,Bahrain,756, ,756, ,458,294,4,444,2,"47,684","28,023"
66,Hungary,744, ,744, ,67,639,17,77,4,"22,282","2,307"
67,Diamond Princess,712, ,712, ,619,82,10, , , , 
68,Belarus,700, ,700, ,53,634,11,74,1,"40,000","4,233"
69,Bosnia and Herzegovina,674, ,674, ,47,598,4,205,9,"5,934","1,809"
70,Kazakhstan,670,+8,670, ,46,618,16,36,0.3,"5,093",271
71,Kuwait,665, ,665, ,103,561,20,156,0.2, , 
72,Cameroon,658, ,658, ,17,632, ,25,0.3, , 
73,Azerbaijan,641, ,641, ,44,590,11,63,0.7,"45,000","4,438"
74,Tunisia,596, ,596, ,5,569,39,50,2,"7,725",654
75,North Macedonia,570, ,570, ,30,517,15,274,11,"5,291","2,540"
76,Bulgaria,549, ,549, ,39,488,26,79,3,"15,899","2,288"
77,Latvia,542, ,542, ,16,525,5,287,0.5,"21,453","11,374"
78,Lebanon,541, ,541, ,60,462,27,79,3,"9,653","1,414"
79,Slovakia,534, ,534, ,8,524,3,98,0.4,"16,191","2,966"
80,Andorra,525, ,525, ,31,473,12,"6,795",272, , 
81,Costa Rica,467, ,467, ,18,447,14,92,0.4,"5,363","1,053"
82,Cyprus,465, ,465, ,45,411,11,385,7,"11,664","9,661"
