,Region,TotalTest,Positive,UpdateDate,TestPerMillion,PositivePerThousand
0, Alberta,"37,673",542,542,"8,537",14
1, British Columbia,"34,561",659,659,"6,762",19
2, Manitoba,"5,606",36,36,"4,070",6.4
3, New Brunswick,"1,828",33,33,"2,344",18
4, Newfoundland,791,4,4,"1,517",5.1
5, Northwest Territories,299,1,1,"6,659",3.3
6, Nova Scotia,"2,349",41,41,"2,403",17
7, Ontario,"35,635",667,667,"2,422",19
8, Prince Edward Island,167,2,2,"1,056",12
9, Quebec,"34,356","2,021","2,021","4,024",59
10, Saskatchewan,"6,270",86,86,"5,306",14
11, Yukon,398,,,"9,689",
12, Emilia-Romagna,"47,798","11,588","11,588","10,718",242
13, Liguria,"7,804","2,696","2,696","5,033",345
14, Lombardy,"95,860","37,298","37,298","9,528",389
15, Marche,"9,060","3,196","3,196","5,940",353
16, Piedmont,"19,705","7,092","7,092","4,523",360
17, Tuscany,"23,746","3,450","3,450","6,367",145
18, Veneto,"83,627","7,497","7,497","17,046",90
19, Tokyo,"2,087",212,212,150,102
20, California,"88,480","3,801","3,801","2,239",43
21, Florida,"32,468","2,765","2,765","1,512",85
22, New York,"138,376","44,635","44,635","7,113",323
23, Washington,"52,715",3700,3700,"7,028",70
