,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Critical,Tot CasesPerM,DeathsPerM,Total Tests,TestsPerM
0,USA,501880.0,"+33,314","18,699 ","+2,017","27,239","455,942","10,916",1516.0,56.0,2538789.0,7670.0
1,Spain,158273.0,"+5,051","16,081 ",+634,"55,668","86,524","7,371",3385.0,344.0,355000.0,7593.0
2,Italy,147577.0,"+3,951","18,849 ",+570,"30,455","98,273","3,497",2441.0,312.0,906864.0,14999.0
3,France,124869.0,"+7,120","13,197 ",+987,"24,932","86,740","7,004",1913.0,202.0,333807.0,5114.0
4,Germany,122171.0,"+3,936","2,767 ",+160,"53,913","65,491","4,895",1458.0,33.0,1317887.0,15730.0
5,UK,73758.0,"+8,681","8,958 ",+980,344,"64,456","1,559",1086.0,132.0,316836.0,4667.0
6,Iran,68192.0,"+1,972","4,232 ",+122,"35,465","28,495","3,969",812.0,50.0,242568.0,2888.0
7,Turkey,47029.0,"+4,747","1,006 ",+98,"2,423","43,600","1,667",558.0,12.0,307210.0,3643.0
8,Belgium,26667.0,"+1,684","3,019 ",+496,"5,568","18,080","1,278",2301.0,260.0,84248.0,7269.0
9,Switzerland,24551.0,+500,"1,002 ",+54,"11,100","12,449",386,2837.0,116.0,178500.0,20625.0
10,Netherlands,23097.0,"+1,335","2,511 ",+115,250,"20,336","1,424",1348.0,147.0,101534.0,5926.0
11,Canada,22148.0,"+1,383",569 ,+60,"6,013","15,566",557,587.0,15.0,370315.0,9812.0
12,Brazil,19789.0,"+1,644","1,068 ",+114,173,"18,548",296,93.0,5.0,62985.0,296.0
13,Portugal,15472.0,"+1,516",435 ,+26,233,"14,804",226,1517.0,43.0,140863.0,13815.0
14,Austria,13560.0,+316,319 ,+24,"6,064","7,177",261,1506.0,35.0,134743.0,14961.0
15,Russia,11917.0,"+1,786",94 ,+18,795,"11,028",8,82.0,0.6,1090000.0,7469.0
16,S. Korea,10450.0,+27,208 ,+4,"7,117","3,125",55,204.0,4.0,503051.0,9812.0
17,Israel,10408.0,+440,95 ,+9,"1,183","9,130",124,1202.0,11.0,117339.0,13557.0
18,Sweden,9685.0,+544,870 ,+77,381,"8,434",749,959.0,86.0,54700.0,5416.0
19,Ireland,8089.0,"+1,515",287 ,+24,25,"7,777",194,1638.0,58.0,53000.0,10734.0
20,India,7600.0,+875,249 ,+22,774,"6,577", ,6.0,0.2,189111.0,137.0
21,Ecuador,7161.0,"+2,196",297 ,+25,368,"6,496",171,406.0,17.0,21568.0,1222.0
22,Chile,6501.0,+529,65 ,+8,"1,571","4,865",70,340.0,3.0,72797.0,3808.0
23,Norway,6314.0,+95,113 ,+5,32,"6,169",70,1165.0,21.0,123170.0,22720.0
24,Australia,6238.0,+86,54 ,+3,"3,141","3,043",74,245.0,2.0,338346.0,13269.0
25,Poland,5955.0,+380,181 ,+7,318,"5,456",160,157.0,5.0,118295.0,3126.0
26,Peru,5897.0,+641,169 ,+31,"1,569","4,159",130,179.0,5.0,56681.0,1719.0
27,Denmark,5819.0,+184,247 ,+10,"1,773","3,799",113,1005.0,43.0,64731.0,11176.0
28,Czechia,5732.0,+163,119 ,+7,346,"5,267",98,535.0,11.0,114854.0,10725.0
29,Japan,5530.0,+183,99 , ,685,"4,746",109,44.0,0.8,64387.0,509.0
30,Romania,5467.0,+265,270 ,+22,729,"4,468",183,284.0,14.0,55430.0,2881.0
31,Pakistan,4695.0,+206,66 ,+1,727,"3,902",45,21.0,0.3,54706.0,248.0
32,Malaysia,4346.0,+118,70 ,+3,"1,830","2,446",69,134.0,2.0,69675.0,2153.0
33,Philippines,4195.0,+119,221 ,+18,140,"3,834",1,38.0,2.0,24500.0,224.0
34,Saudi Arabia,3651.0,+364,47 ,+3,685,"2,919",57,105.0,1.0,115585.0,3320.0
35,Indonesia,3512.0,+219,306 ,+26,282,"2,924", ,13.0,1.0,17679.0,65.0
36,Mexico,3441.0,+260,194 ,+20,633,"2,614",89,27.0,2.0,31492.0,244.0
37,UAE,3360.0,+370,16 ,+2,418,"2,926",1,340.0,2.0,593095.0,59967.0
38,Luxembourg,3223.0,+108,54 ,+2,500,"2,669",30,5149.0,86.0,28273.0,45166.0
39,Serbia,3105.0,+238,71 ,+5,118,"2,916",136,355.0,8.0,14240.0,1630.0
40,Panama,2974.0,+222,74 ,+8,17,"2,883",104,689.0,17.0,11776.0,2729.0
41,Finland,2769.0,+164,48 ,+6,300,"2,421",82,500.0,9.0,41200.0,7436.0
42,Dominican Republic,2620.0,+271,126 ,+8,98,"2,396",147,242.0,12.0,7936.0,732.0
43,Qatar,2512.0,+136,6 , ,227,"2,279",37,872.0,2.0,45339.0,15737.0
44,Colombia,2473.0,+250,80 ,+11,197,"2,196",85,49.0,2.0,37593.0,739.0
45,Thailand,2473.0,+50,33 ,+1,"1,013","1,427",61,35.0,0.5,71860.0,1030.0
46,Ukraine,2203.0,+311,69 ,+12,61,"2,073",33,50.0,2.0,23522.0,538.0
47,Singapore,2108.0,+198,7 ,+1,492,"1,609",29,360.0,1.0,72680.0,12423.0
48,Greece,2011.0,+56,92 ,+5,269,"1,650",77,193.0,9.0,35532.0,3409.0
49,South Africa,2003.0,+69,24 ,+6,410,"1,569",7,34.0,0.4,73028.0,1231.0
50,Belarus,1981.0,+495,19 ,+3,169,"1,793",72,210.0,2.0,53000.0,5609.0
51,Argentina,1975.0,+81,82 ,+3,375,"1,518",96,44.0,2.0,16379.0,362.0
52,Egypt,1794.0,+95,135 ,+17,384,"1,275", ,18.0,1.0,25000.0,244.0
53,Algeria,1761.0,+95,256 ,+21,405,"1,100",46,40.0,6.0,3359.0,77.0
54,Iceland,1675.0,+27,7 ,+1,751,917,11,4909.0,21.0,34125.0,100002.0
